Sample	AODC_cellsmL	Ag_mgL	Al_mgL	As_mgL	Ba_mgL	Be_mgL	Bi_mgL	Boring_depth	Bot_depth	Bot_elevation	Br_mgL	CH4_mM	CO2_mM	Ca_mgL	Cd_mgL	Cl_mgL	Co_mgL	Concentration_nguL	Conductivity_Scm	Cr_mgL	Cs_mgL	Cu_mgL	DIC_mgL	DOC_mgL	DO_mgL	Depth	Elevation	Fe_mgL	Ga_mgL	Iron_mgL	K_mgL	Latitude	Li_mgL	Longitude	Mg_mgL	Mn_mgL	N2O_mM	N2_mM	NO3_mgL	Na_mgL	Ni_mgL	O2_mM	PO4_mgL	Pb_mgL	Redox_mV	SO4_mgL	Screen_height	Se_mgL	Sr_mgL	Sulfide_mgL	Temperature_C	Top_depth	Top_elevation	U_mgL	Zn_mgL	pH	I_all_mgL	S_all_mgL
GW345_51_11_27_12_10	42100	0.021091	0.074505	0.003434	0.23062	0.038176	3.42E-06	26.3	26	968.93		0	3.380165584	42.63	0.004149	7.8447	0.001773	3.07	183.8	0.007015	0.016243	0.009135	18.31	0.325	1.19	21	973.93	0	0.012665	0.01	3.431757	35.97507991	0.043752	84.27692458	55.76922578	0.194231	0.179594894	0.776976594	171.018	52.01544835	0.017021	0.134427748		0.003416	278	8.2806	10	3.43E-06	0.170628	0	15.07	16	978.93	0.019004	0.08937	5.23	333.0775796	332.6774777
GW346_47_11_27_12_02	75400	0.020996	0.042785	0.005366425	2.065393	0.037877	0.004616589	65.3	64.6	930.48	0.003	0	0.439035872	4810.112	0.004011	50.2769	0.003092	1	6931	0.034721	0.016705	0.011698	12.57	0.508	0.26	59.6	935.48	0.007983033	0.072177	0.06	24.121426	35.97508755	0.206467	84.27691608	217.505	0.135647	0.392716404	1.282415387	4590.63	107.117	0.010665119	0.17426532		0.003409	203	18.4023	10	0.004407071	26.026379	0.003	14.79	54.6	940.48	0.019734	0.081665	6.58	30977.85683	39276.49378
GW346_47_11_27_12_10	75400	0.020996	0.042785	0.005366425	2.065393	0.037877	0.004616589	65.3	64.6	930.48	0.003	0	0.439035872	4810.112	0.004011	50.2769	0.003092	1	6931	0.034721	0.016705	0.011698	12.57	0.508	0.26	59.6	935.48	0.007983033	0.072177	0.06	24.121426	35.97508755	0.206467	84.27691608	217.505	0.135647	0.392716404	1.282415387	4590.63	107.117	0.010665119	0.17426532		0.003409	203	18.4023	10	0.004407071	26.026379	0.003	14.79	54.6	940.48	0.019734	0.081665	6.58	30977.85683	39276.49378
GW350_74_2_12_13_02	354	0.020853	0.038124	0.005366425	0.05488	0.037974	0.004616589	46	43.4	947.6	0.0731	0	3.588151663	92.374	0.004086	13.5266	0.001560948	9.34	545	0.006924	0.016243	0.02504	67.46	0.717	0.02	38.4	952.6	0.338148	0.006726	0.38	3.434558	35.97892178	0.042328	84.26830917	80.87365807	0.290767	0	3.538501312		52.01544835	0.010665119	0.691692498		0.003416	137	13.3878	10	0.004407071	0.11889	0	17.98	33.4	957.6	0.005772	0.083711	6.67	908.6372091	604.4306411
GW350_74_2_12_13_10	354	0.020853	0.038124	0.005366425	0.05488	0.037974	0.004616589	46	43.4	947.6	0.0731	0	3.588151663	92.374	0.004086	13.5266	0.001560948	1.07	545	0.006924	0.016243	0.02504	67.46	0.717	0.02	38.4	952.6	0.338148	0.006726	0.38	3.434558	35.97892178	0.042328	84.26830917	80.87365807	0.290767	0	3.538501312		52.01544835	0.010665119	0.691692498		0.003416	137	13.3878	10	0.004407071	0.11889	0	17.98	33.4	957.6	0.005772	0.083711	6.67	908.6372091	604.4306411
GW363_94_1_22_13_02	16500	0.010406	0.077139	0.01073285	0.07532	0.04076825	0.009233179	75	75	880.41	0.0725			16.922	0.002853234	10.2188	0.003121896	1.5	424.9	0.005164317	0.032084238	0.016423	58.43	0.437	0.03	62.5	892.91	0.015966066	0.007066132	0.07	1.940689	35.96904807	0.04832	84.28752085	32.34946323	0.049662			0.4171	105.568	0.021330238			0.002761729	364	10.2409	25	0.008814142	0.124863	0.008	15.28	50	905.41	0.049232	0.062673	9.13	288.4996518	260.4007375
GW363_94_1_22_13_10	16500	0.010406	0.077139	0.01073285	0.07532	0.04076825	0.009233179	75	75	880.41	0.0725			16.922	0.002853234	10.2188	0.003121896	1	424.9	0.005164317	0.032084238	0.016423	58.43	0.437	0.03	62.5	892.91	0.015966066	0.007066132	0.07	1.940689	35.96904807	0.04832	84.28752085	32.34946323	0.049662			0.4171	105.568	0.021330238			0.002761729	364	10.2409	25	0.008814142	0.124863	0.008	15.28	50	905.41	0.049232	0.062673	9.13	288.4996518	260.4007375
GW383_12_17_12_02	31000	0.010542	0.029277	0.01073285	0.47666	0.04076825	0.009233179	24.1	23.1	882.9	0.1131	0	6.467854457	74.532	0.002853234	30.7368	0.003121896	2.94	521.7	0.005164317	0.032084238	0.062411	49.79	0.384	4.54	20.6	885.4	0.015966066	0.017849	0.02	3.001707	35.99287818	0.047829495	84.23942205	32.34946323	0.017346246	0	1.249242594	0.0955	20.80617934	0.021330238	0.1912412		0.002761729	242	22.7182	5	0.008814142	0.382585	0	17.43	18.1	887.9	0.002381	0.058336	7.11	1681.886208	1111.765192
GW383_12_17_12_10	31000	0.010542	0.029277	0.01073285	0.47666	0.04076825	0.009233179	24.1	23.1	882.9	0.1131	0	6.467854457	74.532	0.002853234	30.7368	0.003121896	9.11	521.7	0.005164317	0.032084238	0.062411	49.79	0.384	4.54	20.6	885.4	0.015966066	0.017849	0.02	3.001707	35.99287818	0.047829495	84.23942205	32.34946323	0.017346246	0	1.249242594	0.0955	20.80617934	0.021330238	0.1912412		0.002761729	242	22.7182	5	0.008814142	0.382585	0	17.43	18.1	887.9	0.002381	0.058336	7.11	1681.886208	1111.765192
GW384_12_17_12_02	74700	0.010477	0.027724	0.01073285	0.561307	0.04076825	0.009233179	55.7	55.7	850.06	0.1953	0	0.680717667	126.804	0.002853234	46.2294	0.003121896	1.96	802.9	0.005164317	0.032084238	0.064521	86.09	0.878	0.08	45.6	860.16	1.369607	0.020567	1.24	3.517346	35.99292162	0.047829495	84.23942891	32.34946323	0.57999	0	1.856271755		20.80617934	0.021330238	0.444800745		0.002761729	19	27.8226	20.2	0.008814142	0.694585	0.004	16.95	35.5	870.26	0.002797	0.045164	6.64	3598.244528	2139.833916
GW384_12_17_12_10	74700	0.010477	0.027724	0.01073285	0.561307	0.04076825	0.009233179	55.7	55.7	850.06	0.1953	0	0.680717667	126.804	0.002853234	46.2294	0.003121896	2.15	802.9	0.005164317	0.032084238	0.064521	86.09	0.878	0.08	45.6	860.16	1.369607	0.020567	1.24	3.517346	35.99292162	0.047829495	84.23942891	32.34946323	0.57999	0	1.856271755		20.80617934	0.021330238	0.444800745		0.002761729	19	27.8226	20.2	0.008814142	0.694585	0.004	16.95	35.5	870.26	0.002797	0.045164	6.64	3598.244528	2139.833916
GW385_80_2_18_13_02	49100	0.010522	0.012897758	0.01073285	0.054268	0.04076825	0.009233179	178.7	178.7	727.17		0	0	2.08370338	0.002853234	3.0291	0.003121896	12.4	780.09	0.005164317	0.032084238	0.004688	88.14	0.783	0.29	151.2	754.67	0.015966066	0.007066132	0.01	3.078237	35.99289868	0.118587	84.23942526	32.34946323	0.017346246	0	1.843481298	0.2806	203.306	0.021330238	0.314117376		0.002761729	-16	21.9018	55	0.008814142	0.111645	0	15.36	123.7	782.17	0.002233	0.03521	9.19	924.6483295	221.1354622
GW385_80_2_18_13_10	49100	0.010522	0.012897758	0.01073285	0.054268	0.04076825	0.009233179	178.7	178.7	727.17		0	0	2.08370338	0.002853234	3.0291	0.003121896	3.93	780.09	0.005164317	0.032084238	0.004688	88.14	0.783	0.29	151.2	754.67	0.015966066	0.007066132	0.01	3.078237	35.99289868	0.118587	84.23942526	32.34946323	0.017346246	0	1.843481298	0.2806	203.306	0.021330238	0.314117376		0.002761729	-16	21.9018	55	0.008814142	0.111645	0	15.36	123.7	782.17	0.002233	0.03521	9.19	924.6483295	221.1354622
GW526_15_11_17_12_02	81300	0.021266	0.052463	0.005366425	17.947076	0.03806	0.004616589	123	123	872.34	0.0462	0	0	190.906	0.003989	31.0752	0.001560948	2.91	9468	0.009408	0.016564	0.023353	9.38	2.47	0.14	112	883.34	0.010596	0.544331	0.02	22.785693	35.97510194	0.645325	84.27690711	80.87365807	0.039895	0.243672185	1.346688706	5849.96	1416.037	0.010665119	0.109648423		0.003221	126	3.0214	22	0.004407071	21.626752	0.008	14.54	101	894.34	0.010329	0.072819	7.95	61468.28835	63603.41701
GW526_15_11_17_12_10	81300	0.021266	0.052463	0.005366425	17.947076	0.03806	0.004616589	123	123	872.34	0.0462	0	0	190.906	0.003989	31.0752	0.001560948	1	9468	0.009408	0.016564	0.023353	9.38	2.47	0.14	112	883.34	0.010596	0.544331	0.02	22.785693	35.97510194	0.645325	84.27690711	80.87365807	0.039895	0.243672185	1.346688706	5849.96	1416.037	0.010665119	0.109648423		0.003221	126	3.0214	22	0.004407071	21.626752	0.008	14.54	101	894.34	0.010329	0.072819	7.95	61468.28835	63603.41701
GW531_83_11_28_12_02	2600	0.014067852	0.025795517	0.0214657	0.110218	0.0815365	0.018466357	39.5	38.2	963.99		0	0.565854135	5.437	0.005706469		0.006243792	1.55	39.7	0.010328634	0.064168477	0.008356327	10.73	2.62	4.32	30.35	971.84	0.031932132	0.014132263	0.07	0.558304	35.97394435	0.095658991	84.28155764	16.17473161	0.034692492	0	1.448135178		10.40308967	0.042660477	0.308475652		0.005523457	230		15.7	0.017628284	0.063796	0.02	15.07	22.5	979.69	0.005276	0.02785	5.49	156.5197662	107.7377054
GW531_83_11_28_12_10	2600	0.014067852	0.025795517	0.0214657	0.110218	0.0815365	0.018466357	39.5	38.2	963.99		0	0.565854135	5.437	0.005706469		0.006243792	1.45	39.7	0.010328634	0.064168477	0.008356327	10.73	2.62	4.32	30.35	971.84	0.031932132	0.014132263	0.07	0.558304	35.97394435	0.095658991	84.28155764	16.17473161	0.034692492	0	1.448135178		10.40308967	0.042660477	0.308475652		0.005523457	230		15.7	0.017628284	0.063796	0.02	15.07	22.5	979.69	0.005276	0.02785	5.49	156.5197662	107.7377054
GW533_48_11_28_12_02	19400	0.014067852	0.025795517	0.0214657	0.070131	0.0815365	0.018466357	30.1	30.1	971.25		0	1.902535757	22.915	0.005706469	2.4004	0.006243792	1	118	0.010328634	0.064168477	0.008356327	20.29	0.253	1.54	24.9	976.45	0.031932132	0.014132263	0.02	0.557096	35.97410818	0.095658991	84.28139267	16.17473161	0.034692492	0	0.97839937	1.2758	10.40308967	0.042660477	0.219395285	0.5901	0.005523457	182	7.2409	10.4	0.017628284	0.04078	0.001	15.92	19.7	981.65	0.003716	0.049206	6.27	259.8623516	179.045911
GW533_48_11_28_12_10	19400	0.014067852	0.025795517	0.0214657	0.070131	0.0815365	0.018466357	30.1	30.1	971.25		0	1.902535757	22.915	0.005706469	2.4004	0.006243792	1	118	0.010328634	0.064168477	0.008356327	20.29	0.253	1.54	24.9	976.45	0.031932132	0.014132263	0.02	0.557096	35.97410818	0.095658991	84.28139267	16.17473161	0.034692492	0	0.97839937	1.2758	10.40308967	0.042660477	0.219395285	0.5901	0.005523457	182	7.2409	10.4	0.017628284	0.04078	0.001	15.92	19.7	981.65	0.003716	0.049206	6.27	259.8623516	179.045911
GW537_24_11_26_12_02	6850	0.021354	0.006448879	0.005366425	1.103447	0.038123	0.004616589	24.5	23	951.49	0.0662	0	3.352141743	460.675	0.003959	18.1599	0.001560948	1	2618	0.010384	0.016231	0.002089082	76.7	0.513	0.05	15.5	958.99	0.026294	0.040684	0	2.555619	35.97336167	0.06357	84.2802288	80.87365807	0.025172	0.091894309	1.201802477	1405.59	52.01544835	0.010665119	0.192347008		0.003136	127	5.7304	15	0.004407071	1.327803	0	15.6	8	966.49	0.008457	0.040593	6.49	3689.992332	3693.649917
GW537_24_11_26_12_10	6850	0.021354	0.006448879	0.005366425	1.103447	0.038123	0.004616589	24.5	23	951.49	0.0662	0	3.352141743	460.675	0.003959	18.1599	0.001560948	1	2618	0.010384	0.016231	0.002089082	76.7	0.513	0.05	15.5	958.99	0.026294	0.040684	0	2.555619	35.97336167	0.06357	84.2802288	80.87365807	0.025172	0.091894309	1.201802477	1405.59	52.01544835	0.010665119	0.192347008		0.003136	127	5.7304	15	0.004407071	1.327803	0	15.6	8	966.49	0.008457	0.040593	6.49	3689.992332	3693.649917
