Sample	AODC_cellsmL	Ag_mgL	Al_mgL	As_mgL	Ba_mgL	Be_mgL	Bi_mgL	Boring_depth	Bot_depth	Bot_elevation	Br_mgL	CH4_mM	CO2_mM	Ca_mgL	Cd_mgL	Cl_mgL	Co_mgL	Concentration_nguL	Conductivity_Scm	Cr_mgL	Cs_mgL	Cu_mgL	DIC_mgL	DOC_mgL	DO_mgL	Depth	Elevation	Fe_mgL	Ga_mgL	Iron_mgL	K_mgL	Latitude	Li_mgL	Longitude	Mg_mgL	Mn_mgL	N2O_mM	N2_mM	NO3_mgL	Na_mgL	Ni_mgL	O2_mM	PO4_mgL	Pb_mgL	Redox_mV	SO4_mgL	Screen_height	Se_mgL	Sr_mgL	Sulfide_mgL	Temperature_C	Top_depth	Top_elevation	U_mgL	Zn_mgL	pH	I_all_mgL	S_all_mgL
GW148_12_17_12_10	51500	0.010375	0.015467	0.01073285	0.343926	0.04076825	0.009233179	11.1	10.6	893.93	0.2148	0	3.659714833	188.521	0.002853234	245.812	0.003121896	2.02	1399	0.005164317	0.032084238	0.009162	83.58	1.742	1.32	8.1	896.43	0.062092	0.013431	0.17	2.901728	35.99333156	0.047829495	84.23859719	32.34946323	1.128358	0	1.113425682		45.169	0.095961	0.216639502		0.002761729	156	15.5134	5	0.008814142	0.734546	0.004	16.53	5.6	898.93	0.003695	0.050943	6.45	2511.026612	2606.893613
GW151_12_12_12_02	65000	0.010406	0.019572	0.01073285	0.193583	0.04076825	0.009233179	96.5	96	817.06	0.1002	0.006859856	1.334458806	59.841	0.002853234	27.0751	0.003121896	1.02	432.2	0.005164317	0.032084238	0.004178164	56.21	0.398	0.25	91	822.06	0.015966066	0.008547		2.50587	35.99341251	0.047829495	84.23697301	32.34946323	0.017346246	0	1.979302794	3.6871	20.80617934	0.021330238	0.420884585		0.002761729	172	26.0597	10	0.008814142	0.567239	0.001	15.4	86	827.06	0.007109	0.043853	7.07	955.5859393	1281.064442
GW151_12_12_12_10	65000	0.010406	0.019572	0.01073285	0.193583	0.04076825	0.009233179	96.5	96	817.06	0.1002	0.006859856	1.334458806	59.841	0.002853234	27.0751	0.003121896	1	432.2	0.005164317	0.032084238	0.004178164	56.21	0.398	0.25	91	822.06	0.015966066	0.008547		2.50587	35.99341251	0.047829495	84.23697301	32.34946323	0.017346246	0	1.979302794	3.6871	20.80617934	0.021330238	0.420884585		0.002761729	172	26.0597	10	0.008814142	0.567239	0.001	15.4	86	827.06	0.007109	0.043853	7.07	955.5859393	1281.064442
GW162_37_2_19_13_02	207000	0.007277	0.017065	0.002890508	0.131282	0.039543195	0.037626821	125	125	913.06		0.023565291	0	27.506	0.002676578	1.6085	0.003960968	8.82	247.6	0.004021612	0.029000673	0.008512997	29.26	0.462	0.26	108.5	929.56	0.070473	0.011313946	0.23	1.729343	35.96849476	0.038203854	84.29680619	16.17473161	0.065056	0	1.980847383		18.086	0.005542859	0.373817667		0.002990403	-159	6.4288	33	0.008826523	0.355819	0.083	14.3	92	946.06	0.050763428	0.018777	8.21	3519.676463	1292.657722
GW162_37_2_19_13_10	207000	0.007277	0.017065	0.002890508	0.131282	0.039543195	0.037626821	125	125	913.06		0.023565291	0	27.506	0.002676578	1.6085	0.003960968	1	247.6	0.004021612	0.029000673	0.008512997	29.26	0.462	0.26	108.5	929.56	0.070473	0.011313946	0.23	1.729343	35.96849476	0.038203854	84.29680619	16.17473161	0.065056	0	1.980847383		18.086	0.005542859	0.373817667		0.002990403	-159	6.4288	33	0.008826523	0.355819	0.083	14.3	92	946.06	0.050763428	0.018777	8.21	3519.676463	1292.657722
GW190_22_12_11_12_02	19600	0.020864	0.034842	0.005366425	0.136876	0.038044	0.008702	26.2	25.9	1004.29		0	1.450795029	48.488	0.003973	11.1156	0.001560948	1	345.4	0.009194	0.016229	0.023717	34.68	0.145	0.92	17.85	1012.34	0.007983033	0.009309	0.04	1.243592	35.98070524	0.051726	84.27117664	80.87365807	0.15258	0	1.277626731	0.4957	52.01544835	0.010665119	0.224208073		0.00331	231	30.4938	16.1	0.004407071	0.160268	0.005	17.91	9.8	1020.39	0.004813	0.081805	6.69	1130.462735	402.2832065
GW190_22_12_11_12_10	19600	0.020864	0.034842	0.005366425	0.136876	0.038044	0.008702	26.2	25.9	1004.29		0	1.450795029	48.488	0.003973	11.1156	0.001560948	1	345.4	0.009194	0.016229	0.023717	34.68	0.145	0.92	17.85	1012.34	0.007983033	0.009309	0.04	1.243592	35.98070524	0.051726	84.27117664	80.87365807	0.15258	0	1.277626731	0.4957	52.01544835	0.010665119	0.224208073		0.00331	231	30.4938	16.1	0.004407071	0.160268	0.005	17.91	9.8	1020.39	0.004813	0.081805	6.69	1130.462735	402.2832065
GW198_41_2_11_13_02	52700	0.007033926	0.012897758	0.01073285	0.034120866	0.04076825	0.009233179	26.5	26.5	935.04		0	2.907152015	37.011	0.002853234	73.664	0.003121896	6.33	468.2	0.005164317	0.032084238	0.004178164	30.18	0.861	3.48	21.5	940.04	0.015966066	0.007066132	0.001	0.316569	35.99411282	0.047829495	84.24475076	32.34946323	0.017346246	0	1.258842406	5.8286	32.038	0.021330238	0.266511673		0.002761729	258	19.368	10	0.008814142	0.012267	0.02	16.1	16.5	945.04	0.001576869	0.008431	6.06	586.1591521	490.2149429
GW198_41_2_11_13_10	52700	0.007033926	0.012897758	0.01073285	0.034120866	0.04076825	0.009233179	26.5	26.5	935.04		0	2.907152015	37.011	0.002853234	73.664	0.003121896	2.01	468.2	0.005164317	0.032084238	0.004178164	30.18	0.861	3.48	21.5	940.04	0.015966066	0.007066132	0.001	0.316569	35.99411282	0.047829495	84.24475076	32.34946323	0.017346246	0	1.258842406	5.8286	32.038	0.021330238	0.266511673		0.002761729	258	19.368	10	0.008814142	0.012267	0.02	16.1	16.5	945.04	0.001576869	0.008431	6.06	586.1591521	490.2149429
GW199_42_1_28_13_02	44400	0.010435	0.013309	0.001908	0.112422	0.018942	0.001161	22.5	22.5	935.56		0.019401022	4.814850219	89.37	0.001991	5.4922	0	34.6	581.6	0.003898	0.00813	0.012712	85.05	1.335	0.5	20	938.06	0.850865	0.010304	0.13	3.290748	35.99371791	0.02237	84.24443155	22.30769031	0.095691	0	1.415386958	0.1693	32.34946323	0	0.210648257		0.001701	305	20.9659	5	1.91E-06	0.211946	0.003	14.29	17.5	940.56	0.002977	0.058757	6.53	7375.131595	5408.009591
GW199_42_1_28_13_10	44400	0.010435	0.013309	0.001908	0.112422	0.018942	0.001161	22.5	22.5	935.56		0.019401022	4.814850219	89.37	0.001991	5.4922	0	8.49	581.6	0.003898	0.00813	0.012712	85.05	1.335	0.5	20	938.06	0.850865	0.010304	0.13	3.290748	35.99371791	0.02237	84.24443155	22.30769031	0.095691	0	1.415386958	0.1693	32.34946323	0	0.210648257		0.001701	305	20.9659	5	1.91E-06	0.211946	0.003	14.29	17.5	940.56	0.002977	0.058757	6.53	7375.131595	5408.009591
GW220_50_12_12_12_02	37100	0.010425	0.012897758	0.01073285	0.117087	0.04076825	0.009233179	45.2	44.7	868.04	0.1474	0	2.311063033	61.493	0.002853234	22.1031	0.003121896	1.71	410.7	0.005164317	0.032084238	0.004178164	57.34	0.393	0.52	39.7	873.04	0.015966066	0.007066132	0.05	2.79816	35.99338126	0.047829495	84.23697564	32.34946323	0.024693	0	1.73763973	2.0697	20.80617934	0.021330238	0.345415328		0.002761729	135	20.4758	10	0.008814142	0.451179	0	13.09	34.7	878.04	0.004912	0.037703	7.49	722.5757585	926.3286453
GW220_50_12_12_12_10	37100	0.010425	0.012897758	0.01073285	0.117087	0.04076825	0.009233179	45.2	44.7	868.04	0.1474	0	2.311063033	61.493	0.002853234	22.1031	0.003121896	2.42	410.7	0.005164317	0.032084238	0.004178164	57.34	0.393	0.52	39.7	873.04	0.015966066	0.007066132	0.05	2.79816	35.99338126	0.047829495	84.23697564	32.34946323	0.024693	0	1.73763973	2.0697	20.80617934	0.021330238	0.345415328		0.002761729	135	20.4758	10	0.008814142	0.451179	0	13.09	34.7	878.04	0.004912	0.037703	7.49	722.5757585	926.3286453
GW223_39_1_8_13_02	1060	0.010652	0.054556	0.01073285	0.273962	0.04076825	0.009233179	90.5	90	818.97	0.0788	0	1.509677357	77.863	0.003096	563640	0.003121896	3.24	466.5	0.005164317	0.032084238	0.029101	52.64	1.161	0.41	85	823.97	0.149595	0.011232	0.12	2.128802	35.99195362	0.047829495	84.23951719	32.34946323	0.418724	0	3.154384373		24.482	0.021330238	0.75804906		0.002761729	1356	41.6121	10	0.008814142	0.224043	0.002	16.41	80	828.97	0.042048	0.072319	6.83	950.9567825	842.3119707
GW223_39_1_8_13_10	1060	0.010652	0.054556	0.01073285	0.273962	0.04076825	0.009233179	90.5	90	818.97	0.0788	0	1.509677357	77.863	0.003096	563640	0.003121896	1	466.5	0.005164317	0.032084238	0.029101	52.64	1.161	0.41	85	823.97	0.149595	0.011232	0.12	2.128802	35.99195362	0.047829495	84.23951719	32.34946323	0.418724	0	3.154384373		24.482	0.021330238	0.75804906		0.002761729	1356	41.6121	10	0.008814142	0.224043	0.002	16.41	80	828.97	0.042048	0.072319	6.83	950.9567825	842.3119707
GW228_12_2_4_13_02	95000	0.010626	0.08037	0.01073285	0.044594	0.04076825	0.009233179	100	100	843.85	0.0718	0.033029909	0	10.064	0.002853234	37.0106	0.003121896	13.9	282.4	0.005164317	0.032084238	0.066454	11.56	0.766	0.17	90	853.85	0.015966066	0.007066132	0	4.241242	35.96865963	0.047829495	84.28345252	32.34946323	0.017346246	0	1.733773337	7.624	20.80617934	0.021330238	0.238515222		0.002761729	264	19.6726	20	0.008814142	0.10672	0.008	10.92	80	863.85	0.009262	0.061781	9.31	640.7090738	179.9981596
GW228_12_2_4_13_10	95000	0.010626	0.08037	0.01073285	0.044594	0.04076825	0.009233179	100	100	843.85	0.0718	0.033029909	0	10.064	0.002853234	37.0106	0.003121896	1	282.4	0.005164317	0.032084238	0.066454	11.56	0.766	0.17	90	853.85	0.015966066	0.007066132	0	4.241242	35.96865963	0.047829495	84.28345252	32.34946323	0.017346246	0	1.733773337	7.624	20.80617934	0.021330238	0.238515222		0.002761729	264	19.6726	20	0.008814142	0.10672	0.008	10.92	80	863.85	0.009262	0.061781	9.31	640.7090738	179.9981596
GW246_1_11_26_12_02	145000	0.021363	40.012504	0.006663	5.467117	0.056911	0.004616589	76	74.6	931.47		0	9.466708912	13116.11	0.306756	286.886	0.441116	1	18580	0.007196	0.016683	0.033077	30.54	5.143	0.19	60.55	945.52	0.033227	0.159475	0.037	32.081756	35.97714399	0.491966	84.27293486	446.433	77.701	0.914099157	1.34697565	13471.3	371.428	3.473997	0.258432067		0.003899	331	32.026	28.1	0.010587	10.048643	0.004	17.56	46.5	959.57	0.259447	0.229637	4.48	129931.5542	139476.1323
